# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
00198C	iXSea
00198D	Ocean Optics
00198E	Demant A/S
00198F	Nokia Bell N.V
001990	ELM DATA
001991	avinfo
001992	Adtran
001993	Changshu Switchgear MFG.
001994	Jorjin
001995	Jurong Hi-Tech (Suzhou)C
001996	TurboChef
001997	Soft Device Sdn Bhd
001998	Sato
001999	Fujitsu Technology Solut
00199A	Edo-Evi
00199B	Diversified Technical
00199C	Ctring
00199D	Vizio
00199E	Nifty
00199F	Dkt A/S
0019A0	Nihon Data Systens
0019A1	Lg Information & Comm
0019A2	Ordyn
0019A3	asteel electronique atla
0019A4	Austar Technology (hang
0019A5	RadarFind
0019A6	Commscope
0019A7	Itu-T
0019A8	WiQuest
0019A9	Cisco
0019AA	Cisco
0019AB	Raycom
0019AC	GSP
0019AD	Bobst
0019AE	Hopling
0019AF	Rigol
0019B0	HanYang System
0019B1	Arrow7
0019B2	XYnetsoft
0019B3	Stanford Research
0019B4	Intellio
0019B5	Famar Fueguina
0019B6	Euro Emme s.r.l
0019B7	Nokia Danmark A/S
0019B8	Boundary Devices
0019B9	Dell
0019BA	Paradox Security
0019BB	Hewlett Packard
0019BC	Electro Chance
0019BD	New Media Life
0019BE	Altai
0019BF	Citiway
0019C0	Commscope
0019C1	Alpsalpine Co .Ltd
0019C2	Equustek Solutions
0019C3	Qualitrol
0019C4	Infocrypt
0019C5	Sony Interactive Enterta
0019C6	zte
0019C7	Cambridge Industries(Gro
0019C8	AnyDATA
0019C9	S&C Electric
0019CA	Broadata
0019CB	Zyxel
0019CC	RCG (HK)
0019CD	Chengdu ethercom informa
0019CE	Progressive Gaming
0019CF	Salicru
0019D0	Cathexis
0019D1	Intel
0019D2	Intel
0019D3	TRAK Microwave
0019D4	ICX
0019D5	IP Innovations
0019D6	LS Cable and System
0019D7	Fortunetek
0019D8	Maxfor
0019D9	Zeutschel
0019DA	Welltrans O&E
0019DB	Micro-Star
0019DC	ENENSYS
0019DD	FEI-Zyfer
0019DE	Mobitek
0019DF	Thomson
0019E0	TP-Link
0019E1	Nortel
0019E2	Juniper
0019E3	Apple
0019E4	2Wire
0019E5	Lynx Studio
0019E6	Toyo Medic
0019E7	Cisco
0019E8	Cisco
0019E9	S-Information Technolgy
0019EA	TeraMage
0019EB	Pyronix
0019EC	Sagamore
0019ED	Axesstel
0019EE	CARLO GAVAZZI CONTROLS S
0019EF	Linnking
0019F0	Union Man
0019F1	Star Communication Netwo
0019F2	Teradyne K.K
0019F3	Cetis
0019F4	Convergens
0019F5	Imagination
0019F6	Acconet (PTE)
0019F7	Onset Computer
0019F8	Embedded Systems Design
0019F9	TDK-Lambda
0019FA	Cable Vision
0019FB	Sky Uk
0019FC	PT. Ufoakses Sukses Luar
0019FD	Nintendo
0019FE	Seecomm
0019FF	Finnzymes
001A00	Matrix
001A01	ICU Medical
001A02	Secure Care Products
001A03	Angel
001A04	Interay Solutions
001A05	Optibase
001A06	OpVista
001A07	Arecont Vision
001A08	Simoco
001A09	Wayfarer Transit
001A0A	Adaptive Micro-Ware
001A0B	Bona
001A0C	Swe-Dish Satellite
001A0D	HandHeld entertainment
001A0E	Cheng Uei Precision Indu
001A0F	Arteche
001A10	Lucent Trans
001A11	Google
001A12	Essilor
001A13	Wanlida
001A14	Xin Hua Control Engineer
001A15	gemalto e-Payment
001A16	Nokia Danmark A/S
001A17	Teak
001A18	Advanced Simulation
001A19	Computer Engineering
001A1A	Gentex Corporation/Elect
001A1B	Commscope
001A1C	GT&T Engineering Pte
001A1D	PChome Online
001A1E	Hewlett Packard Enterpri
001A1F	Coastal Environmental
001A20	CMOTECH
001A21	Brookhuis Applied
001A22	eQ-3 Entwicklung
001A23	Ice Qube
001A24	Galaxy Telecom
001A25	Delta Dore
001A26	Deltanode Solutions
001A27	Ubistar
001A28	ASWT Co. LTD. Taiwan Bra
001A29	Johnson Outdoors Marine
001A2A	Arcadyan
001A2B	Ayecom
001A2C	SATEC
001A2D	The Navvo
001A2E	Ziova Coporation
001A2F	Cisco
001A30	Cisco
001A31	Scan Coin
001A32	Activa Multimedia
001A33	ASI
001A34	Konka
001A35	BARTEC
001A36	Aipermon GmbH &
001A37	Lear
001A38	Sanmina-SCI
001A39	Merten GmbH&CoKG
001A3A	Dongahelecomm
001A3B	Doah Elecom
001A3C	Technowave
001A3D	Ajin Vision
001A3E	Faster
001A3F	Intelbras
001A40	A-Four
001A41	INOCOVA
001A42	Techcity
001A43	Logical Link
001A44	JWTrading
001A45	GN Netcom A/S
001A46	Digital Multimedia
001A47	Agami
001A48	Takacom
001A49	Micro Vision
001A4A	Qumranet
001A4B	Hewlett Packard
001A4C	Crossbow
001A4D	Giga-Byte
001A4E	NTI AG / LinMot
001A4F	AVM
001A50	PheeNet
001A51	Alfred Mann
001A52	Meshlinx Wireless
001A53	Zylaya
001A54	Hip Shing
001A55	ACA-Digital
001A56	ViewTel Co
001A57	Matrix Design
001A58	CCV Deutschland GmbH - C
001A59	Ircona
001A5A	Korea Electric Power Dat
001A5B	NetCare Service
001A5C	Euchner GmbH+Co
001A5D	Mobinnova
001A5E	Thincom
001A5F	KitWorks.fi
001A60	Wave
001A61	PacStar
001A62	Data Robotics
001A63	Elster Solutions LLC
001A64	IBM
001A65	Seluxit
001A66	Commscope
001A67	Infinite QL Sdn Bhd
001A68	Weltec Enterprise
001A69	Wuhan Yangtze Optical
001A6A	Tranzas
001A6B	Universal Global Scienti
001A6C	Cisco
001A6D	Cisco
001A6E	Impro
001A6F	MI.TEL s.r.l
001A70	Cisco-Linksys
001A71	Diostech
001A72	Mosart Semiconductor
001A73	Gemtek
001A74	Procare
001A75	Sony
001A76	SDT information
001A77	Commscope
001A78	ubtos
001A79	Telecomunication
001A7A	Lismore Instruments
001A7B	Teleco
001A7C	Hirschmann Multimedia
001A7D	cyber-blue(HK)Ltd
001A7E	LN Srithai Comm
001A7F	GCI Science &
001A80	Sony
001A81	Zelax
001A82	PROBA Building Automatio
001A83	Pegasus
001A84	V One Multimedia Pte
001A85	NV Michel Van de Wiele
001A86	New Wave Design & Verifi
001A87	Canhold
001A88	Venergy
001A89	Nokia Danmark A/S
001A8A	Samsung
001A8B	Chunil Electric Ind
001A8C	Sophos
001A8D	AVECS Bergen
001A8E	3Way
001A8F	Nortel
001A90	Trópico Sistemas e Telec
001A91	FusionDynamic
001A92	ASUSTek COMPUTER
001A93	ERCO Leuchten
001A94	Votronic
001A95	Hisense Mobile Communica
001A96	Ecler
001A97	fitivision
001A98	Asotel Communication Lim
001A99	Smarty (HZ) Information
001A9A	Skyworth Digital Technol
001A9B	ADEC & Parter
001A9C	RightHand
001A9D	Skipper Wireless
001A9E	ICON Digital
001A9F	A-Link
001AA0	Dell
001AA1	Cisco
001AA2	Cisco
001AA3	Delorme
001AA4	Future University-Hakoda
001AA5	BRN Phoenix
001AA6	Elbit Systems Deutschlan
001AA7	Torian Wireless
001AA8	Mamiya Digital Imaging
001AA9	Fujian Star-Net Communic
001AAA	Analogic
001AAB	eWings s.r.l
001AAC	Corelatus
001AAD	Commscope
001AAE	Savant
001AAF	Blusens
001AB0	Signal Networks Pvt. Ltd
001AB1	Asia Pacific Satellite I
001AB2	Cyber Solutions
001AB3	Visionite
001AB4	FFEI
001AB5	Home Network System
001AB6	Texas Instruments
001AB7	Ethos
001AB8	Anseri
001AB9	Groupe Carrus
001ABA	Caton Overseas
001ABB	Fontal Technology Incorp
001ABC	U4EA
001ABD	Impatica
001ABE	Computer Hi-Tech
001ABF	TRUMPF Laser Marking
001AC0	Joybien
001AC1	3Com
001AC2	YEC
001AC3	Scientific-Atlanta
001AC4	2Wire
001AC5	Keysight
001AC6	Micro Control Designs
001AC7	Unipoint
001AC8	ISL (Instrumentation Sci
001AC9	Suzuken
001ACA	Tilera
001ACB	Autocom Products
001ACC	Celestial Semiconductor
001ACD	Tidel Engineering LP
001ACE	Yupiteru
001ACF	C.T. Elettronica
001AD0	Albis
001AD1	Fargo
001AD2	Eletronica Nitron Ltda
001AD3	Vamp
001AD4	iPOX
001AD5	Kmc Chain
001AD6	Jiagnsu Aetna Electric
001AD7	Christie Digital
001AD8	AlsterAero
001AD9	International Broadband
001ADA	Biz-2-Me
001ADB	Commscope
001ADC	Nokia Danmark A/S
001ADD	PePWave
001ADE	Commscope
001ADF	Interactivetv
001AE0	Mythology Tech Express
001AE1	Edge Access
001AE2	Cisco
001AE3	Cisco
001AE4	Medicis
001AE5	Mvox
001AE6	Atlanta Advanced
001AE7	Aztek
001AE8	Unify Software and Solut
001AE9	Nintendo
001AEA	Radio Terminal
001AEB	Allied Telesis K.K
001AEC	Keumbee
001AED	INCOTEC
001AEE	Shenztech
001AEF	Loopcomm
001AF0	Alcatel-Lucent IPD
001AF1	Embedded Artists
001AF2	Dynavisions Schweiz
001AF3	Samyoung
001AF4	Handreamnet
001AF5	Pentaone
001AF6	Woven
001AF7	dataschalt e+a
001AF8	Copley Controls
001AF9	AeroVIronment (AV Inc)
001AFA	Welch Allyn
001AFB	Joby
001AFC	ModusLink
001AFD	Evolis
001AFE	Sofacreal
001AFF	Wizyoung
001B00	Neopost
001B01	Applied Radio
001B02	ED Co.Ltd
001B03	Action Technology (SZ)
001B04	Affinity International S
001B05	Ymc
001B06	Ateliers R. LAUMONIER
001B07	Mendocino Software
001B08	Danfoss Drives A/S
001B09	Matrix Comsec Private
001B0A	Intelligent Distributed
001B0B	Phidgets
001B0C	Cisco
001B0D	Cisco
001B0E	InoTec GmbH Organisation
001B0F	Petratec
001B10	Kang Hui
001B11	D-Link
001B12	Apprion
001B13	Icron
001B14	Carex Lighting Equipment
001B15	Voxtel
001B16	Celtro
001B17	Palo Alto
001B18	Tsuken Electric Ind
001B19	IEEE I&M Society TC9
001B1A	e-trees Japan
001B1B	Siemens AG
001B1C	Coherent
001B1D	Phoenix
001B1E	HART Communication
001B1F	FORCE
001B20	TPine
001B21	Intel
001B22	Palit Microsystems ( H.K
001B23	SimpleComTools
001B24	Quanta Computer
001B25	Nortel
001B26	RON-Telecom ZAO
001B27	Merlin CSI
001B28	Polygon Jsc
001B29	Avantis.Co
001B2A	Cisco
001B2B	Cisco
001B2C	ATRON
001B2D	Med-Eng
001B2E	Sinkyo Electron
001B2F	Netgear
001B30	Solitech
001B31	Neural Image
001B32	QLogic
001B33	Nokia Danmark A/S
001B34	Focus System
001B35	ChongQing JINOU Science
001B36	Tsubata Engineering Co.
001B37	Computec
001B38	Compal Information (Kuns
001B39	Proxicast
001B3A	SIMS
001B3B	Yi-Qing
001B3C	Software
001B3D	EuroTel
001B3E	Curtis
001B3F	ProCurve Networking by H
001B40	Network Automation mxc
001B41	General Infinity
001B42	Wise & Blue
001B43	DG Telecommunications eq
001B44	SanDisk
001B45	ABB AS Division Automati
001B46	Blueone
001B47	Futarque A/S
001B48	Lantech
001B49	Roberts Radio
001B4A	W&W
001B4B	SANION
001B4C	Signtech
001B4D	Areca
001B4E	Navman New Zealand
001B4F	Avaya
001B50	Nizhny Novgorod Factory
001B51	Vector
001B52	Commscope
001B53	Cisco
001B54	Cisco
001B55	Hurco Automation
001B56	Tehuti
001B57	Semindia Systems Private
001B58	ACE CAD Enterprise
001B59	Sony
001B5A	Apollo Imaging
001B5B	2Wire
001B5C	Azuretec
001B5D	Vololink
001B5E	BPL
001B5F	Alien
001B60	Navigon
001B61	Digital Acoustics
001B62	JHT Optoelectronics
001B63	Apple
001B64	IsaacLandKorea Co. Ltd
001B65	China Gridcom
001B66	Sennheiser electronic Gm
001B67	Cisco
001B68	Modnnet
001B69	Equaline
001B6A	Powerwave Technologies S
001B6B	Swyx Solutions
001B6C	LookX Digital Media
001B6D	Midtronics
001B6E	Keysight
001B6F	Teletrak
001B70	IRI Ubiteq
001B71	Telular
001B72	Sicep s.p.a
001B73	DTL Broadcast
001B74	MiraLink
001B75	Hypermedia
001B76	Ripcode
001B77	Intel
001B78	Hewlett Packard
001B79	Faiveley Transport
001B7A	Nintendo
001B7B	The Tintometer
001B7C	A & R Cambridge
001B7D	CXR Anderson Jacobson
001B7E	Beckmann
001B7F	TMN Technologies Telecom
001B80	LORD
001B81	DATAQ Instruments
001B82	Taiwan Semiconductor
001B83	Finsoft
001B84	Scan Engineering Telecom
001B85	Everllence
001B86	Bosch Access
001B87	Deepsound
001B88	Divinet Access
001B89	EMZA Visual Sense
001B8A	2M Electronic A/S
001B8B	NEC Platforms
001B8C	JMicron
001B8D	Electronic Computer
001B8E	Hulu Sweden
001B8F	Cisco
001B90	Cisco
001B91	Efkon
001B92	l-acoustics
001B93	JC Decaux SA DNT
001B94	T.E.M.A. S.p.A
001B95	Video
001B96	General Sensing
001B97	Violin
001B98	Samsung
001B99	KS System
001B9A	Apollo Fire Detectors
001B9B	Hose-McCann
001B9C	SATEL sp. z o.o
001B9D	Novus Security Sp. z o.o
001B9E	Askey Computer
001B9F	Calyptech
001BA0	Awox
001BA1	Åmic
001BA2	IDS Imaging Development
001BA3	Flexit
001BA4	S.A.E Afikim
001BA5	MyungMin
001BA6	intotech
001BA7	Lorica Solutions
001BA8	UBI&MOBI .Inc
001BA9	Brother industries
001BAA	XenICs
001BAB	Telchemy
001BAC	Curtiss Wright Controls
001BAD	iControl
001BAE	Micro Control
001BAF	Nokia Danmark A/S
001BB0	Bharat
001BB1	WNC
001BB2	Intellect
001BB3	Condalo
001BB4	Airvod
001BB5	Cherry
001BB6	Bird
001BB7	Alta Heights
001BB8	Blueway Electronic Co;Lt
001BB9	Elitegroup Computer
001BBA	Nortel
001BBB	RFTech
001BBC	Silver Peak
001BBD	FMC Kongsberg Subsea
001BBE	ICOP Digital
001BBF	Sagemcom Broadband
001BC0	Juniper
001BC1	HOLUX
001BC2	Integrated Control Techn
001BC3	Mobisolution
001BC4	Ultratec
001BC5000	Converging
001BC5001	OpenRB.com Direct SIA
001BC5002	GORAMO - Janusz Gorecki
001BC5003	MicroSigns
001BC5004	Intellvisions Software
001BC5005	Private
001BC5006	TRIAX-HIRSCHMANN Multi-M
001BC5007	Energy Aware
001BC5008	Dalaj Electro-Telecom
001BC5009	Solomon Systech Pte
001BC500A	Mercury HMI
001BC500B	Private
001BC500C	Quantum Technology Scien
001BC500D	Advanced Scientific Conc
001BC500E	Vigor Electric
001BC500F	Simavita
001BC5010	Softel SA de CV
001BC5011	OOO NPP Mera
001BC5012	Tokyo Cosmos Electric
001BC5013	Zamir Recognition
001BC5014	Private
001BC5015	Corporate Systems Engine
001BC5016	Energotechnica OOO NPP
001BC5017	cPacket
001BC5019	Dunlop Systems & Compone
001BC501A	Aba
001BC501B	Commonwealth Scientific
001BC501C	Coolit
001BC501D	Rose + Herleth GbR
001BC501E	Private
001BC501F	Saturn Solutions
001BC5020	Momentum Data
001BC5021	Openpeak
001BC5022	Cjsc Stc Simos
001BC5023	MAGO di Della Mora Walte
001BC5024	Annecy Electronique
001BC5025	andersen lighting
001BC5026	DIMEP Sistemas
001BC5027	CAMEA spol. s r.o
001BC5028	Stechwin.Co.Ltd
001BC5029	2 France Marine
001BC502A	Analytical Instrument
001BC502B	Saturn South
001BC502C	Care Everywhere
001BC502D	DDTRONIK Dariusz Dowgier
001BC502E	Bettini
001BC502F	Fibrain
001BC5030	OctoGate IT Security
001BC5031	Adixein
001BC5032	Osborne Coinage
001BC5033	JE Suunnittelu
001BC5034	InterCEL
001BC5035	RTLS
001BC5036	Lomar
001BC5037	ITW Reyflex North
001BC5038	SEED
001BC5039	Euresys
001BC503A	MindMade Sp. z o.o
001BC503B	Promixis
001BC503C	Xiphos
001BC503D	rioxo
001BC503E	Daylight Solutions
001BC503F	ELTRADE
001BC5040	OOO Actidata
001BC5041	DesignA
001BC5042	Chamsys
001BC5043	Coincident
001BC5044	ZAO "RADIUS Avtomatika"
001BC5045	Marvel Digital
001BC5046	Géant
001BC5047	PT. Amanindo Nusapadu
001BC5048	XPossible Technologies P
001BC5049	EUROCONTROL S.p.A
001BC504A	Certis Technology Intern
001BC504B	Silicon Controls
001BC504C	Rhino Controls
001BC504D	eiraku electric
001BC504E	Mitsubishi Electric Indi
001BC504F	Orbital
001BC5050	TeliSwitch Solutions
001BC5051	QQ Navigation
001BC5052	Engineering Center ENERG
001BC5053	Metrycom
001BC5054	Private
001BC5055	Lumiplan Transport
001BC5056	ThinKom Solutions
001BC5057	EREE Electronique
001BC5058	optiMEAS
001BC5059	Inpixal
001BC505A	Postec Data
001BC505B	konzeptpark
001BC505C	Suretrak Global
001BC505D	JSC Prominform
001BC505E	Ecomed-Complex
001BC505F	Klingenthaler Musikelekt
001BC5060	Enstech
001BC5061	Scientific-Technical Cen
001BC5062	Sulaon
001BC5063	Check-It Solutions
001BC5064	Enkora
001BC5065	Plair Media
001BC5066	Manufacturas y transform
001BC5067	Embit
001BC5068	HCS KABLOLAMA SISTEMLERI
001BC5069	Datasat Digital Entertai
001BC506A	IST
001BC506B	Verified Energy
001BC506C	Luxcon System
001BC506D	TES Electronic Solutions
001BC506E	Two Dimensional Instrume
001BC506F	LLC Emzior
001BC5070	Siemens Industries Inc R
001BC5071	Center for E-Commerce In
001BC5072	Ohio Semitronics
001BC5073	tado
001BC5074	Dynasthetics
001BC5075	Kitron
001BC5076	PLAiR Media
001BC5077	Momentum Data
001BC5078	Donbass Soft Ltd and Co.
001BC5079	HPI High Pressure Instru
001BC507A	Servicios Electronicos I
001BC507B	QCORE Medical
001BC507C	head
001BC507D	Greatcom
001BC507E	Bio Molecular System
001BC507F	Hitechlab
001BC5080	LUMINO
001BC5081	WonATech
001BC5082	TGS Geophysical Company
001BC5083	Diwel
001BC5084	Applied Innovations Rese
001BC5085	Oberon microsystems
001BC5086	CAST Group of Companies
001BC5087	Onnet Technologies and I
001BC5088	UAB Kitron
001BC5089	Signature Control
001BC508A	Topicon
001BC508B	Nistica
001BC508C	Triax A/S
001BC508D	Eurek
001BC508E	TrendPoint
001BC508F	Unilever R&D
001BC5090	Seven Solutions S.L
001BC5091	3green ApS
001BC5092	Arnouse Digital Devices
001BC5093	Ambient Devices
001BC5094	reelyActive
001BC5095	PREVAC sp. z o.o
001BC5096	Sanstreak
001BC5097	Plexstar
001BC5098	Cubic
001BC5099	UAB Kitron
001BC509A	Guang Lian Zhi Tong
001BC509B	YIK
001BC509C	Meccalte
001BC509D	Navitar
001BC509E	K+K Messtechnik
001BC509F	ENTE Sp. z o.o
001BC50A0	Silvair
001BC50A1	Zhiping
001BC50A2	Hettich Benelux
001BC50A3	P A Network Laboratory
001BC50A4	Radmor
001BC50A5	Tesla Controls
001BC50A6	Balter Security
001BC50A7	L.G.L. Electronics S.p.a
001BC50A8	Link Precision
001BC50A9	Elektrometal
001BC50AA	Senceive
001BC50AB	Evondos
001BC50AC	AVnu Alliance
001BC50AD	Tierra Japan
001BC50AE	Techlan Reti s.r.l
001BC50AF	Enerwise Solutions
001BC50B0	J-D.Com
001BC50B1	Roslen Eco-Networking Pr
001BC50B2	SKODA ELECTRIC a.s
001BC50B3	FSM Solutions
001BC50B4	Coban
001BC50B5	Exibea
001BC50B6	Veilux
001BC50B7	Autelis
001BC50B8	Private
001BC50B9	Denki Kogyo
001BC50BA	Nt Microsystems
001BC50BB	Triax A/S
001BC50BC	kuwatec
001BC50BD	Bridge Diagnostics
001BC50BE	YESpay
001BC50BF	TN Core
001BC50C0	Digital Loggers
001BC50C1	EREE Electronique
001BC50C2	TechSolutions A/S
001BC50C3	inomatic
001BC50C4	Eldes
001BC50C5	Gill Instruments
001BC50C6	CyanConnode
001BC50C7	Wizzilab
001BC50C8	Dialine
001BC50C9	UAB Kitron
001BC6	Strato Rechenzentrum
001BC7	StarVedia
001BC8	Miura
001BC9	Fsn Display
001BCA	Run
001BCB	Pempek
001BCC	Kingtek Cctv Alliance
001BCD	Daviscomms (S) Pte
001BCE	Measurement Devices
001BCF	Dataupia
001BD0	Identec Solutions
001BD1	Sogestmatic
001BD2	ULTRA-X ASIA PACIFIC
001BD3	Panasonic Corporation AV
001BD4	Cisco
001BD5	Cisco
001BD6	Kelvin Hughes
001BD7	Cisco SPVTG
001BD8	FLIR
001BD9	Edgewater Wireless
001BDA	UTStarcom
001BDB	Valeo VECS
001BDC	Vencer
001BDD	Commscope
001BDE	Renkus-Heinz
001BDF	Iskra Sistemi d.d
001BE0	TELENOT
001BE1	ViaLogy
001BE2	AhnLab
001BE3	Health Hero Network
001BE4	Townet
001BE5	802automation
001BE6	Vr
001BE7	Postek
001BE8	Ultratronik
001BE9	Broadcom
001BEA	Nintendo
001BEB	DMP
001BEC	Netio
001BED	Brocade
001BEE	Nokia Danmark A/S
001BEF	Blossoms Digital
001BF0	Value Platforms
001BF1	Nanjing SilverNet Softwa
001BF2	Kworld Computer
001BF3	TRANSRADIO SenderSysteme
001BF4	Kenwin Industrial(Hk)
001BF5	Tellink Sistemas de Tele
001BF6	CONWISE
001BF7	Lund IP Products
001BF8	Digitrax
001BF9	Intellitect Water
001BFA	G.i.N. mbH
001BFB	Alpsalpine Co .Ltd
001BFC	ASUSTek COMPUTER
001BFD	Dignsys
001BFE	Zavio
001BFF	Millennia Media
001C00	Entry Point
001C01	ABB Oy Drives
001C02	Pano Logic
001C03	Betty TV
001C04	Airgain
001C05	Nonin Medical
001C06	Siemens Numerical Contro
001C07	Cwlinux
001C08	Echo360
001C09	SAE
001C0A	AEE
001C0B	SmartAnt Telecom
001C0C	TANITA
001C0D	G-Technology
001C0E	Cisco
001C0F	Cisco
001C10	Cisco-Linksys
001C11	Commscope
001C12	Commscope
001C13	Optsys
001C14	VMware
001C15	iPhotonix
001C16	ThyssenKrupp Elevator
001C17	Nortel
001C18	Sicert S.r.L
001C19	secunet Security
001C1A	Thomas Instrumentation
001C1B	Hyperstone
001C1C	Center Communication
001C1D	Chenzhou Gospell Digital
001C1E	emtrion
001C1F	Quest Retail
001C20	CLB Benelux
001C21	Nucsafe
001C22	Aeris Elettronica s.r.l
001C23	Dell
001C24	Formosa Wireless
001C25	Foxconn
001C26	Foxconn
001C27	Sunell
001C28	Sphairon
001C29	Core Digital
001C2A	Envisacor
001C2B	Hive
001C2C	Synapse
001C2D	FlexRadio
001C2E	HPN Supply Chain
001C2F	Pfister
001C30	Mode Lighting (UK )
001C31	Mobile XP
001C32	Telian
001C33	Sutron
001C34	Huey Chiao
001C35	Nokia Danmark A/S
001C36	iNEWiT
001C37	Callpod
001C38	Bio-Rad Laboratories
001C39	S Netsystems
001C3A	Element Labs
001C3B	AmRoad
001C3C	Seon Design
001C3D	WaveStorm
001C3E	ECKey
001C3F	International Police
001C40	VDG-Security
001C41	scemtec Transponder
001C42	Parallels
001C43	Samsung
001C44	Electro Voice Dynacord
001C45	Chenbro Micom
001C46	Qtum
001C47	Hollysys Automation
001C48	WiDeFi
001C49	Zoltan
001C4A	AVM
001C4B	Gener8
001C4C	Petrotest Instruments
001C4D	Aplix IP
001C4E	TASA
001C4F	Macab
001C50	TCL Technoly Electronics
001C51	Celeno
001C52	Visionee
001C53	Synergy Lighting Control
001C54	Hillstone
001C55	Kaifa
001C56	Pado
001C57	Cisco
001C58	Cisco
001C59	Devon It
001C5A	Advanced Relay
001C5B	Chubb Electronic Securit
001C5C	Integrated Medical
001C5D	Leica Microsystems
001C5E	ASTON France
001C5F	Winland
001C60	CSP Frontier
001C61	Galaxy Microsystems
001C62	LG Electronics (Mobile C
001C63	Truen
001C64	Landis+Gyr
001C65	JoeScan
001C66	Ucamp
001C67	Pumpkin
001C68	Anhui Sun Create
001C69	Packet Vision
001C6A	Weiss Engineering
001C6B	COVAX
001C6C	30805
001C6D	Kyohritsu Electronic Ind
001C6E	Newbury
001C6F	Emfit
001C70	Novacomm Ltda
001C71	Emergent
001C72	Mayer & Cie GmbH &
001C73	Arista
001C74	Syswan
001C75	Segnet
001C76	The Wandsworth
001C77	Prodys
001C78	Wyplay
001C79	Cohesive Financial
001C7A	Perfectone Netware
001C7B	Castlenet
001C7C	Perq
001C7D	Excelpoint Manufacturing
001C7E	Toshiba
001C7F	Check Point Software
001C80	New Business Division/Rh
001C81	NextGen Venturi
001C82	Genew
001C83	New Level Telecom
001C84	STL Solution
001C85	Eunicorn
001C86	Cranite
001C87	Uriver
001C88	Transystem
001C89	Force
001C8A	Cirrascale
001C8B	MJ Innovations
001C8C	Dial
001C8D	Mesa Imaging
001C8E	Alcatel-Lucent IPD
001C8F	Advanced Electronic Desi
001C90	Empacket
001C91	Gefen
001C92	Tervela
001C93	ExaDigm
001C94	LI-COR Biosciences
001C95	Opticomm
001C96	Linkwise Technology Pte
001C97	Enzytek Technology Inc
001C98	Lucky Technology (Hk)
001C99	Shunra Software
001C9A	Nokia Danmark A/S
001C9B	FEIG
001C9C	Nortel
001C9D	Liecthi
001C9E	Dualtech IT
001C9F	Razorstream
001CA0	Production Resource
001CA1	Akamai
001CA2	ADB Broadband Italia
001CA3	Terra
001CA4	Sony
001CA5	Zygo
001CA6	Win4NET
001CA7	International Quartz
001CA8	AirTies Wireless
001CA9	Audiomatica
001CAA	Bellon
001CAB	Meyer Sound Laboratories
001CAC	Qniq
001CAD	Wuhan Telecommunication
001CAE	WiChorus
001CAF	Plato
001CB0	Cisco
001CB1	Cisco
001CB2	Bpt
001CB3	Apple
001CB4	Iridium Satellite
001CB5	Neihua Network Technolog
001CB6	Duzon CNT
001CB7	USC DigiArk
001CB8	CBC
001CB9	Kwang Sung
001CBA	VerScient
001CBB	MusicianLink
001CBC	CastGrabber
001CBD	Ezze Mobile
001CBE	Nintendo
001CBF	Intel
001CC0	Intel
001CC1	Commscope
001CC2	Part II Research
001CC3	Commscope
001CC4	Hewlett Packard
001CC5	3Com
001CC6	ProStor
001CC7	Rembrandt Technologies L
001CC8	INDUSTRONIC Industrie-El
001CC9	Kaise
001CCA	Gaozhi Science & Technol
001CCB	Forth Corporation Public
001CCC	BlackBerry RTS
001CCD	Alektrona
001CCE	By Techdesign
001CCF	Limetek
001CD0	Circleone
001CD1	Waves Audio
001CD2	King Champion (Hong Kong
001CD3	ZP Engineering SEL
001CD4	Nokia Danmark A/S
001CD5	ZeeVee
001CD6	Nokia Danmark A/S
001CD7	Harman/Becker Automotive
001CD8	BlueAnt Wireless
001CD9	GlobalTop
001CDA	Exegin
001CDB	Carpoint
001CDC	Custom Computer Services
001CDD	Cowbell Engineering
001CDE	Interactive Multimedia e
001CDF	Belkin
001CE0	Dasan Tps
001CE1	Indra Sistemas
001CE2	Attero
001CE3	Optimedical
001CE4	EleSy JSC
001CE5	MBS
001CE6	Innes
001CE7	Rocon PLC Research Centr
001CE8	Cummins
001CE9	Galaxy
001CEA	Scientific-Atlanta
001CEB	Nortel
001CEC	Mobilesoft (Aust.)
001CED	Environnement
001CEE	SHARP
001CEF	Primax
001CF0	D-Link
001CF1	SUPoX
001CF2	Tenlon
001CF3	EVS Broadcast Equipment
001CF4	Media
001CF5	Wiseblue
001CF6	Cisco
001CF7	AudioScience
001CF8	Parade
001CF9	Cisco
001CFA	Alarm.com
001CFB	Commscope
001CFC	Sumitomo Electric Indust
001CFD	Universal
001CFE	Quartics
001CFF	Napera
001D00	Brivo
001D01	Neptune Digital
001D02	Cybertech Telecom Develo
001D03	Design Solutions
001D04	Zipit Wireless
001D05	Cooper Lighting Solution
001D06	HM
